"idEfector","nombre","idZona","nombreNacion","complejidad","idEfectorSuperior","domicilio","telefono","reponsable","codigoRemediar","cuie","idTipoEfector","codigoSisa"
1,"HOSPITAL DE AREA CENTENARIO - DR. NATALIO BURD",2,3500012,3,1,"Darrieux e Ing. Ballester - Centenario",489185,"FORTUNA, FABIO",,"Q06393",2,10580352167014
2,"HOSPITAL DE AREA PLOTTIER",2,3500080,4,2,"Martelotta y Sabin",,"UZAL,MARCELO",,"Q06397",2,10580352167025
3,"HOSPITAL DE AREA SENILLOSA",2,3500209,3,3,"NEUQUEN S/N - SENILLOSA",,"TORRES, PABLA MIRNA",,"Q06407",2,10580352167028
4,"HOSPITAL DE AREA RINCON DE LOS SAUCES",2,9100032,3,4,"JUJUY 47 - RINCON DE LOS SAUCES",,,,"Q06404",2,10580912167026
5,"HOSPITAL DE AREA SAN PATRICIO DEL CHA?AR",2,1400029,3,5,"CALLE 27 S/N - EL CHA?AR",,"MACHADO HUGO",,"Q06400",2,10580142167027
6,"C.S. A?ELO",2,1400011,2,5,"Jorge Tanuz s/n","490-4090",,,"Q03102",1,50580142167057
7,"HOSPITAL DE AREA EL CHOCON",2,3500110,3,7,"Villa El Choc?n",4490129,"TORRES, LILIANA",,"Q06409",2,10580352167015
8,"J.Z.SANITARIA I",2,0,10,227,"Alta Barda",,,," ",4,
9,"C.S. B? SARMIENTO 2",2,3500454,2,1,,,,,"Q03104",1,
10,"C.S. VISTA ALEGRE NORTE",2,3500098,2,1,,,,,"Q03671",1,50580352167132
11,"C.S. VISTA ALEGRE SUR",2,3500101,2,1,"Colonia Valentina Sur",,,,"Q03106",1,50580352167133
12,"C.S. EL CHACAY",2,3500691,2,2,"Encina 929",,,,"Q03123",1,50580352167089
14,"C.S. LA ESPERANZA",2,3500764,2,2,,,,,"Q03126",1,
15,"C.S. LOS AROMOS",2,3500772,2,2,,,,,"Q03125",1,50580352167098
16,"C.S. LOS HORNOS",2,3500497,2,2,"San martin 2202",,,,"Q06398",1,50580352167099
17,"C.S. SOLDADO J.AGUILA",2,3500748,2,2,,,,,"Q03124",1,
18,"C.S. LOS ALAMOS",2,3501361,2,2,,,,,"Q03675",1,50580352167097
19,"C.S. COLONIA SAN FRANCISCO",2,3501591,2,2,,,,,"Q12096",1,50580352167082
20,"C.S. B? UNION (Plottier ZI)",2,3501501,2,2,,,,,"Q06399",1,
21,"C.S. VISTA HERMOSA",2,3500721,2,1,,,,,"Q03670",1,50580352167134
23,"C.S. LA FALDA",2,9100130,2,5,,,,,"Q12009",1,
24,"C.S. ZONA COSTA",2,9100148,2,5,,,,,"Q06405",1,
26,"C.S. VILLA OBRERA",2,3500705,2,1,,,,,"Q06394",1,50580352167129
27,"C.S. COSTA DE REYES",2,3500730,2,1,,,,,"Q06395",1,50580352167084
28,"C.S. B? SARMIENTO 1",2,3500446,2,1,,,,,"Q03105",1,
29,"C.S. NUEVA ESPA?A",2,0,2,1,,,,,"Q06396",1,
30,"C.S. ARROYITO",2,3501604,2,3,,,,,"Q06408",1,
32,"H.CENTENARIO (VIEJO)",2,3500012,2,0,,,,," ",2,
33,"HOSPITAL INTERZONAL ZAPALA",3,11200044,3,33,"Luis Monti 155 - Zapala",431521,,,"Q06410",2,10581122167032
34,"HOSPITAL DE AREA MARIANO MORENO - DR. CARLOS BURDES",3,11200028,3,34,"25 de Mayo S/N? - M.Moreno",490139,,,"Q06413",2,10581132167023
35,"HOSPITAL DE AREA LAS LAJAS DR. JOSE VENIER",3,10500010,3,35,"Roca 269 - Las Lajas",499044,,,"Q06414",2,10581052167020
36,"HOSPITAL DE AREA BAJADA DEL AGRIO",3,10500036,3,36,"Ada. 25 de Mayo S/N? - BAJADA DEL AGRIO",497939,,,"Q06415",2,10581052167012
37,"HOSPITAL DE AREA LONCOPUE DR. JOSE CUEVAS",3,6300014,3,37,"SAN MARTION S/N? - LONCOPUE",498048,,,"Q06411",2,10580632167022
38,"C.S. CAVIAHUE",3,8400091,2,37,"LAS LENGAS  S/N? - CAVIAHUE",495070,,,"Q03130",1,50580842167079
39,"HOSPITAL DE AREA EL HUECU",3,8400024,3,39,"Guemes S/N? - EL HUECU",491011,,,"Q06416",2,10580842167017
40,"HOSPITAL DE AREA ALUMINE",3,700011,3,40,"4 DE CABALLERIA y LEZCANO",496150,,,"Q06412",2,10580072167010
41,"C.S. VILLA PEHUENIA",3,700061,2,40,"Area Rural","498037    ",,,"Q12040",1,50580072167130
42,"J.Z. SANITARIA II",3,0,10,227,"ZAPALA",,,," ",4,
43,"C.S. LAS LATAS",3,700053,2,40,"ALUMUNE",,,,"Q03101",1,50580072167250
44,"C.S. AMPLIACION",3,0,2,33,,,,,"Q12011",1,50581122167056
45,"C.S. B? ALBORADA",3,11200117,2,33,,,,,"Q03135",1,
46,"C.S. B? DON BOSCO (ZAPALA - ZII)",3,11200079,2,33,,,,,"Q03136",1,
47,"C.S. B? 582 VIVIENDAS",3,11200133,2,33,,,,,"Q03137",1,50581122167074
48,"C.S. NUEVA ESPERANZA (Z II)",3,11200168,2,33,"Benigar y Ricardez",,,,"Q03122",1,
49,"C.S. LAS LAJITAS",3,10500052,2,35,,,,,"Q12026",1,
50,"C.S. C.G.T.",3,11200265,2,33,,,,,"Q12012",1,
51,"HOSPITAL ZONAL CHOS MALAL - DR GREGORIO ALVAREZ",5,4200012,3,51,"Ada. Estanislao Florez 650 .Chos Malal",421400,,,"Q06417",2,10580422167034
52,"HOSPITAL DE AREA TRICAO MALAL",5,4200021,3,52,"VOLCAN TROMEN S/N?",497900,,,"Q06426",2,10580422167029
53,"HOSPITAL DE AREA BUTA RANQUIL - ENF GABINO SAGREDO",5,9100016,3,53,"Av. Jadull S/N? - Buta Ranquil",493000,,,"Q06422",2,10580912167013
54,"C.S. BARRANCAS",5,9100024,2,53,"Cap. De los Andes y Sto. Cabral",482017,,,"Q03133",1,50580912167075
55,"HOSPITAL DE AREA ANDACOLLO - DR. ANTONIO GORGNI",5,7700016,3,55,"Nahueve y Huinganco - Andacollo",494021,"hospandacollo@gmail.com",,"Q06423",2,10580772167011
56,"C.S. HUINGANCO",5,7700041,2,55,"Los Huingales S/N?- HUINGANCO","490003    ",,,"Q03131",1,50580772167090
57,"HOSPITAL DE AREA LAS OVEJAS",5,7700024,3,57,"Presidente Borini S/N?",481005,,,"Q06424",2,10580772167021
58,"C.S. VARVARCO",5,7700067,2,57,"Ada. Domuyo S/N?","482017    ",,,"Q03132",1,50580772167124
59,"HOSPITAL DE AREA EL CHOLAR",5,8400032,3,59,"Ada. Guemez S/N?",492900,,,"Q06425",2,10580842167016
60,"J.Z. ZONA SANITARIA III",5,0,10,227,"CHOS MALAL",,,," ",4,
61,"C.S. TIRO FEDERAL (Z. III)",5,4200101,2,51,,,,,"Q06421",1,
62,"C.S. B? A. de FRONTERA",5,4200080,2,51,,,,,"Q06420",1,
63,"C.S. ENF G. MOYA (IV DIV.)",5,4200047,2,51,,,,," ",1,
64,"C.S. ENF. M. ROCA (CHACRAS)",5,4200098,2,51,,,,," ",1,
65,"C.S. B? URIBURU",5,4200055,2,51,,,,,"Q03661",1,
