"ID","NOMBRE","LATITUD","LONGITUD"
1,"C. S Don Bosco"," -38.899583","-70.053204"
2,"C. S- Parque Oeste"," -38.926995","-69.240418"
3,"C. S Sapere"," -38.949723","-68.028925"
4,"C. S. 14 de Octubre"," -38.926304","-68.071059"
5,"C. S. 4ta División"," -37.381063","-70.267765"
6,"C. S. 500 Viviendas"," -38.934189","-69.249059"
7,"C. S. 582 Viviendas"," -38.898248","-70.075460"
8,"C. S. Añelo"," -38.353439","-68.789017"
9,"C. S. Aeroparque"," -38.932736","-69.244440"
10,"C. S. Almafuerte"," -38.930202","-68.146822"
11,"C. S. Alta Barda"," -37.362073","-70.263061"
12,"C. S. Ampliación"," -38.893732","-70.080771"
13,"C. S. Area de Frontera"," -37.374275","-70.267533"
14,"C. S. B° Uriburu"," -37.356235","-70.270575"
15,"C. S. B°. Otaño"," -38.938440","-69.189204"
16,"C. S. Bº Union"," -38.953606","-68.173589"
17,"C. S. Barrancas"," -36.821895","-69.915374"
18,"C. S. Barrio Norte"," -40.756381","-71.650763"
19,"C. S. Belgrano"," -38.940889","-69.243446"
20,"C. S. Bouquet Roldán"," -38.958017","-68.074173"
21,"C. S. Brentana"," -38.946083","-69.227818"
22,"C. S. Caviahue"," -37.864858","-71.056275"
23,"C. S. CGT"," -38.888024","-70.063249"
24,"C. S. Confluencia"," -38.961662","-68.032741"
25,"C. S. El Chacay"," -38.966318","-68.242328"
26,"C. S. Hansen"," -38.894342","-70.043811"
27,"C. S. La Esperanza"," -38.948306","-68.261355"
28,"C. S. Las Chacras"," -39.510563","-69.308525"
29,"C. S. Las Lajitas"," -38.525097","-70.391771"
30,"C. S. Los Alamos"," -38.944929","-68.187917"
31,"C. S. Los Aromos"," -38.958502","-68.241830"
32,"C. S. Los Hornos"," -38.928765","-68.165004"
33,"C. S. margaritas"," -40.762037","-71.659437"
34,"C. S. Mariano Moreno"," -38.958343","-68.043591"
35,"C. S. Nueva Esperanza"," -38.944731","-68.083268"
36,"C. S. Nueva Esperanza"," -38.902954","-70.042049"
37,"C. S. Octavio Pico"," -37.590389","-68.258617"
38,"C. S. Pampa"," -38.936634","-69.240577"
39,"C. S. Parque Industrial"," -38.910831","-68.082332"
40,"C. S. Peñi Trapun"," -38.943031","-69.236721"
41,"C. S. Piedritas"," -40.761191","-71.639525"
42,"C. S. Progreso"," -38.948573","-68.091662"
43,"C. S. San Lorenzo Norte"," -38.943558","-68.126185"
44,"C. S. San Lorenzo Sur"," -38.949829","-68.121889"
45,"C. S. Soldado Aguila"," -38.957152","-68.245988"
46,"C. S. Tiro Federal"," -37.370045","-70.270986"
47,"C. S. Valentina Norte"," -38.957659","-68.133233"
48,"C. S. Valentina Sur"," -38.965335","-68.118187"
49,"C. S. Vega Maipú"," -40.128009","-71.247250"
50,"C. S. Villa Farrel"," -38.954442","-68.041863"
51,"C. S. Villa Florencia"," -38.965252","-68.070355"
52,"C. S. Villa María"," -38.966946","-68.058873"
53,"C. S. Villa Pehuenia"," -38.880737","-71.171173"
54,"C. Sal. Manzano Amargo"," -36.753982","-70.763434"
55,"C. Sal. Varvarco"," -36.849954","-70.676878"
56,"C.S. Don Bosco"," -38.972614","-68.076839"
57,"C.S. La Meseta"," -38.904868","-68.135802"
58,"C.S. Las Chacras"," -37.385999","-70.263449"
59,"C.S. Sarmiento I"," -38.835328","-68.132571"
60,"C.S. Sarmiento II"," -38.828347","-68.140815"
61,"C.S. Villa Traful"," -40.657408","-71.392881"
62,"C.S. Vista Alegre Norte"," -38.735517","-68.170782"
63,"C.S. Vista Alegre Sur"," -38.773157","-68.134246"
64,"C.S. Vista Hermosa"," -38.824379","-68.152460"
65,"Hospital Alumine"," -39.234880","-70.918301"
66,"Hospital Andacollo"," -37.178947","-70.671532"
67,"Hospital Bajada del Agri"," -38.406788","-70.033341"
68,"Hospital Bouquet Roldán"," -38.958771","-68.085968"
69,"Hospital Buta Ranquil"," -37.050932","-69.877102"
70,"Hospital Buta Ranquil (A"," -37.045602","-69.879826"
71,"Hospital Castro Rendón"," -38.950381","-68.056880"
72,"Hospital Centenario"," -38.821002","-68.136982"
73,"Hospital Chañar"," -38.629782","-68.296329"
