COD_AREA_PROGR;ZONA_SANITARIA;NOM_A_PROGRAMA;COD_LOC;NOM_LOC;TIENE_ESCU;COD_LOC_IN;TIPO;GEOM900913;wkt_geom;CLASIFICACION_PROV;CodProv;CodDepart;CodLoc;Establec;NOMBRE_ENT
42;2;ALUMINE;58007001;ABRA ANCHA;t;;PARAJE;"SRID=900913;POINT(-7896402.58571219 -4766812.69305971)";POINT(-70.934591 -39.314438);paraje;58;007;000;HOSP.ALUMINE;ABRA ANCHA
23;2;BAJADA DEL AGRIO;58105001;AGRIO DEL MEDIO;t;;PARAJE;"SRID=900913;POINT(-7787503.72287764 -4628977.96888744)";POINT(-69.956336 -38.349931);paraje;58;105;000;HOSP.BAJADA DEL AGRIO;AGRIO DEL MEDIO
32;3;BUTA RANQUIL;58091001;AGUA CALIENTE;f;;PARAJE;"SRID=900913;POINT(-7790696.78955707 -4428698.28655748)";POINT(-69.985020 -36.925290);paraje;58;091;000;HOSP.BUTA RANQUIL;AGUAS CALIENTES
20;2;ZAPALA;58021001;AGUA DEL OVERO;t;;PARAJE;"SRID=900913;POINT(-7809582.96231756 -4766819.87716454)";POINT(-70.154677 -39.314488);paraje;;;;;
32;3;BUTA RANQUIL;58091002;AGUADA CHACAYCO;t;;PARAJE;"SRID=900913;POINT(-7801199.16311054 -4493117.75432826)";POINT(-70.079364 -37.386500);paraje;;;;;
44;4;LAS COLORADAS;58021002;AGUADA DEL FLORENCIO;t;;PARAJE;"SRID=900913;POINT(-7823736.20069502 -4793185.34499588)";POINT(-70.281818 -39.497490);paraje;;;;;
20;2;ZAPALA;58112001;AGUADA DEL LUCERO;f;;PARAJE;"SRID=900913;POINT(-7793254.9114555 -4696273.73231526)";POINT(-70.008000 -38.822470);paraje;;;;;
08;1;AÑELO;58014012;AGUADA SAN ROQUE;t;;PARAJE;"SRID=900913;POINT(-7674020.38426679 -4579970.03490557)";POINT(-68.936898 -38.003852);comision de fomento;58;014;000;C.S.AÑELO;AGUADA SAN ROQUE
05;5;CUTRALCO-PLAZA H.;58035041;AGUADA TOLEDO;t;;PARAJE;"SRID=900913;POINT(-7670031.83863141 -4685236.1361293)";POINT(-68.901068 -38.745179);paraje;;;;;
42;2;ALUMINE;58007003;ALUMINE;t;58007010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7894607.25730158 -4755500.23332009)";POINT(-70.918464 -39.235771);municipio 2;58;007;010;HOSP.ALUMINE;ALUMINE
33;3;ANDACOLLO;58077002;ANDACOLLO;t;58077010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7866246.92447088 -4464416.02051795)";POINT(-70.663698 -37.181358);municipio 2;58;077;010;HOSP.ANDACOLLO;ANDACOLLO
34;3;LAS OVEJAS;58077003;ANTIÑIR (RAI);f;;PARAJE;"SRID=900913;POINT(-7875348.96089657 -4418344.87504993)";POINT(-70.745463 -36.850903);paraje;;;;;
20;2;ZAPALA;58112003;ANTIPAN (RAI);f;;PARAJE;"SRID=900913;POINT(-7763290.85992751 -4733755.03138631)";POINT(-69.738828 -39.084307);paraje;;;;;
