idEfector;nombre;idZona;nombreNacion;complejidad;idEfectorSuperior;domicilio;telefono;reponsable;codigoRemediar;cuie;idTipoEfector;codigoSisa
1;HOSPITAL DR. NATALIO BURD;2;3500012;3;1;Darrieux e Ing. Ballester - Centenario;489185;FORTUNA, FABIO;;Q06393;2;1,05804E+13
2;HOSPITAL DR. JOSE CUEVAS;2;3500080;4;2;Martelotta y Sabin;;UZAL,MARCELO;;Q06397;2;1,05804E+13
3;HOSPITAL EL CHOCON;2;3500209;3;3;NEUQUEN S/N - SENILLOSA;;TORRES, PABLA MIRNA;;Q06407;2;1,05804E+13
4;HOSPITAL LAS LAJAS;2;9100032;3;4;JUJUY 47 - RINCON DE LOS SAUCES;;;;Q06404;2;1,05809E+13
5;HOSPITAL ALUMINE;2;1400029;3;5;CALLE 27 S/N - EL CHA?AR;;MACHADO HUGO;;Q06400;2;1,05801E+13
6;HOSPITAL BOUQUET ROLDAN;2;1400011;2;5;Jorge Tanuz s/n;490-4090;;;Q03102;1;5,05801E+13
7;HOSPITAL SENILLOSA;2;3500110;3;7;Villa El Choc?n;4490129;TORRES, LILIANA;;Q06409;2;1,05804E+13
8;HOSPITAL JUNIN DE LOS ANDES;2;0;10;227;Alta Barda;;;; ;4;
9;HOSPITAL EL CHOLAR;2;3500454;2;1;;;;;Q03104;1;
10;HOSPITAL ZAPALA;2;3500098;2;1;;;;;Q03671;1;5,05804E+13
11;C.S. VISTA ALEGRE SUR;2;3500101;2;1;Colonia Valentina Sur;;;;Q03106;1;5,05804E+13
12;C.S. EL CHACAY;2;3500691;2;2;Encina 929;;;;Q03123;1;5,05804E+13
14;C.S. LA ESPERANZA;2;3500764;2;2;;;;;Q03126;1;
15;C.S. LOS AROMOS;2;3500772;2;2;;;;;Q03125;1;5,05804E+13
16;C.S. LOS HORNOS;2;3500497;2;2;San martin 2202;;;;Q06398;1;5,05804E+13
17;C.S. SOLDADO J.AGUILA;2;3500748;2;2;;;;;Q03124;1;
18;C.S. LOS ALAMOS;2;3501361;2;2;;;;;Q03675;1;5,05804E+13
19;C.S. COLONIA SAN FRANCISCO;2;3501591;2;2;;;;;Q12096;1;5,05804E+13
20;C.S. B? UNION (Plottier ZI);2;3501501;2;2;;;;;Q06399;1;
21;C.S. VISTA HERMOSA;2;3500721;2;1;;;;;Q03670;1;5,05804E+13
23;C.S. LA FALDA;2;9100130;2;5;;;;;Q12009;1;
24;C.S. ZONA COSTA;2;9100148;2;5;;;;;Q06405;1;
26;C.S. VILLA OBRERA;2;3500705;2;1;;;;;Q06394;1;5,05804E+13
